imdb_id,new_id
112461,0
68646,1
71562,2
97165,3
88847,4
167404,5
91042,6
137523,7
209144,8
246578,9
280760,10
372784,11
829482,12
468569,13
371746,14
796366,15
417741,16
988045,17
926084,18
1515091,19
1645080,20
1659337,21
1853728,22
2582802,23
118002,24
116731,25
76759,26
114924,27
111257,28
117247,29
117381,30
117060,31
86190,32
82096,33
117731,34
109445,35
106292,36
83866,37
93779,38
119731,39
119488,40
118971,41
120902,42
118998,43
99674,44
120623,45
138097,46
145734,47
130827,48
163651,49
87332,50
155267,51
108185,52
96438,53
120363,54
175880,55
97162,56
195685,57
99871,58
172495,59
120630,60
187393,61
161081,62
241303,63
164334,64
241527,65
110912,66
83658,67
57012,68
53125,69
73486,70
82971,71
60196,72
56172,73
86879,74
75686,75
40897,76
77416,77
88763,78
97351,79
47296,80
137363,81
178737,82
182789,83
70511,84
110413,85
111161,86
133093,87
169547,88
144084,89
162222,90
120737,91
245429,92
295297,93
266543,94
167260,95
304141,96
332280,97
382932,98
462538,99
1010048,100
1285016,101
1201607,102
780504,103
1345836,104
903624,105
1170358,106
1798709,107
2084970,108
114709,109
114369,110
108358,111
115956,112
116136,113
34583,114
63350,115
105695,116
52618,117
78841,118
115641,119
120177,120
47478,121
133189,122
52151,123
93870,124
80979,125
177789,126
78902,127
93773,128
58576,129
98143,130
82252,131
99005,132
95705,133
82869,134
96071,135
81568,136
265666,137
51201,138
85271,139
112384,140
110598,141
107616,142
117509,143
116209,144
105488,145
56592,146
57115,147
97576,148
64115,149
119116,150
119177,151
120382,152
96463,153
120789,154
118799,155
128445,156
187078,157
120903,158
212338,159
249462,160
223897,161
190332,162
190590,163
92965,164
243155,165
126029,166
203009,167
243133,168
198781,169
240772,170
211915,171
120824,172
259446,173
145487,174
278500,175
120912,176
310793,177
268126,178
167261,179
264464,180
299658,181
290334,182
325980,183
342167,184
114746,185
112431,186
112573,187
112864,188
109830,189
106977,190
107290,191
107614,192
108052,193
102926,194
67992,195
105236,196
96754,197
99423,198
119094,199
120338,200
129387,201
120815,202
195714,203
160797,204
141926,205
218817,206
268978,207
245844,208
258463,209
309593,210
327056,211
314331,212
363988,213
372183,214
338309,215
356910,216
371606,217
454848,218
405094,219
449467,220
443543,221
436697,222
472043,223
407887,224
455590,225
206634,226
482571,227
396171,228
401445,229
381061,230
450259,231
463998,232
435705,233
443706,234
822854,235
445934,236
479537,237
448134,238
455957,239
488120,240
453451,241
480025,242
478311,243
780571,244
411061,245
460740,246
496806,247
462504,248
829459,249
337978,250
418279,251
440963,252
431197,253
381849,254
455782,255
765443,256
758758,257
465538,258
452623,259
765429,260
477348,261
884328,262
480249,263
464141,264
467406,265
825232,266
419887,267
408236,268
469494,269
780516,270
1060277,271
443274,272
200465,273
813547,274
845046,275
800240,276
936501,277
910970,278
1117385,279
942385,280
452608,281
887883,282
988047,283
1059786,284
1063669,285
455824,286
112641,287
114388,288
112682,289
114814,290
112379,291
113247,292
109424,293
116324,294
109508,295
113540,296
113677,297
114478,298
111797,299
109707,300
110057,301
110005,302
110729,303
108394,304
110769,305
114594,306
108550,307
109348,308
107472,309
105226,310
106677,311
106332,312
107507,313
107653,314
108065,315
108122,316
108328,317
112651,318
99348,319
116282,320
112701,321
109592,322
110480,323
117951,324
116905,325
52357,326
47396,327
46250,328
42192,329
38650,330
115678,331
63819,332
95016,333
117589,334
117802,335
95159,336
79470,337
46912,338
117040,339
91480,340
71853,341
118147,342
108598,343
95765,344
101811,345
102426,346
97937,347
100332,348
80684,349
88846,350
66921,351
78788,352
93191,353
99685,354
95250,355
89881,356
97499,357
70735,358
88247,359
97441,360
100150,361
82269,362
90967,363
99334,364
102536,365
101640,366
97493,367
85809,368
83987,369
87553,370
115751,371
117666,372
93822,373
118111,374
118655,375
117615,376
117359,377
99810,378
119174,379
119349,380
118842,381
119280,382
119324,383
90329,384
107282,385
120520,386
119217,387
120255,388
119485,389
119574,390
120241,391
120728,392
118798,393
120321,394
64665,395
82158,396
93389,397
97239,398
94947,399
98213,400
97757,401
75200,402
102250,403
57372,404
63522,405
92699,406
98258,407
99487,408
104952,409
90830,410
120722,411
120684,412
91954,413
120324,414
120735,415
147800,416
139239,417
73629,418
162677,419
88939,420
68473,421
100802,422
120601,423
120655,424
164312,425
113277,426
117110,427
109444,428
110213,429
108399,430
103064,431
65214,432
112691,433
43265,434
90605,435
64116,436
78748,437
80455,438
104361,439
100263,440
92991,441
107048,442
66206,443
72431,444
73341,445
82010,446
73195,447
104691,448
119654,449
118715,450
119822,451
120669,452
67116,453
75148,454
63462,455
89767,456
151804,457
94737,458
61578,459
58461,460
