userId,new_user_id
1,0
2,1
4,2
5,3
7,4
8,5
9,6
11,7
12,8
15,9
16,10
17,11
20,12
21,13
22,14
24,15
25,16
27,17
28,18
29,19
30,20
32,21
33,22
34,23
35,24
37,25
38,26
40,27
41,28
43,29
46,30
47,31
48,32
49,33
51,34
53,35
54,36
55,37
56,38
58,39
59,40
60,41
62,42
63,43
64,44
65,45
67,46
68,47
69,48
71,49
73,50
74,51
75,52
76,53
77,54
79,55
80,56
81,57
82,58
83,59
84,60
89,61
91,62
93,63
94,64
95,65
96,66
97,67
98,68
101,69
102,70
103,71
104,72
105,73
106,74
107,75
111,76
112,77
114,78
115,79
116,80
117,81
119,82
120,83
123,84
125,85
126,86
127,87
129,88
131,89
132,90
133,91
134,92
136,93
138,94
139,95
140,96
141,97
142,98
146,99
147,100
148,101
150,102
151,103
153,104
155,105
157,106
158,107
160,108
161,109
162,110
164,111
166,112
170,113
173,114
174,115
176,116
178,117
179,118
181,119
185,120
186,121
187,122
188,123
191,124
192,125
193,126
196,127
198,128
200,129
201,130
209,131
211,132
212,133
213,134
215,135
217,136
218,137
222,138
223,139
224,140
225,141
227,142
228,143
229,144
230,145
231,146
232,147
233,148
234,149
235,150
236,151
242,152
245,153
246,154
247,155
248,156
249,157
250,158
251,159
252,160
253,161
254,162
255,163
256,164
261,165
265,166
266,167
267,168
269,169
271,170
273,171
277,172
279,173
280,174
284,175
289,176
294,177
295,178
296,179
298,180
303,181
306,182
308,183
312,184
313,185
314,186
316,187
317,188
318,189
319,190
320,191
321,192
322,193
323,194
324,195
325,196
329,197
330,198
331,199
332,200
334,201
335,202
337,203
338,204
340,205
341,206
342,207
343,208
344,209
346,210
348,211
349,212
350,213
352,214
353,215
354,216
358,217
359,218
360,219
361,220
362,221
363,222
365,223
366,224
368,225
370,226
371,227
376,228
377,229
380,230
382,231
384,232
386,233
387,234
388,235
389,236
390,237
391,238
392,239
398,240
400,241
404,242
405,243
408,244
410,245
411,246
412,247
414,248
415,249
416,250
417,251
418,252
419,253
420,254
421,255
423,256
425,257
426,258
427,259
429,260
430,261
431,262
432,263
433,264
434,265
435,266
436,267
439,268
442,269
443,270
445,271
447,272
450,273
451,274
452,275
454,276
455,277
456,278
457,279
458,280
459,281
460,282
461,283
463,284
465,285
468,286
469,287
471,288
474,289
475,290
476,291
477,292
479,293
480,294
481,295
482,296
483,297
487,298
488,299
490,300
491,301
492,302
493,303
494,304
495,305
499,306
502,307
503,308
504,309
505,310
506,311
507,312
508,313
509,314
510,315
512,316
514,317
515,318
517,319
518,320
519,321
521,322
522,323
523,324
524,325
526,326
527,327
529,328
533,329
534,330
538,331
540,332
541,333
542,334
543,335
544,336
545,337
546,338
549,339
551,340
557,341
559,342
563,343
567,344
568,345
570,346
573,347
574,348
576,349
578,350
579,351
580,352
581,353
582,354
583,355
584,356
585,357
586,358
587,359
588,360
590,361
592,362
595,363
596,364
600,365
602,366
603,367
604,368
605,369
606,370
607,371
609,372
611,373
613,374
614,375
615,376
616,377
619,378
621,379
622,380
623,381
624,382
625,383
627,384
630,385
632,386
633,387
636,388
638,389
640,390
641,391
651,392
652,393
653,394
654,395
658,396
660,397
661,398
663,399
664,400
667,401
668,402
669,403
672,404
674,405
675,406
677,407
679,408
681,409
682,410
686,411
687,412
688,413
689,414
690,415
692,416
694,417
